"","all_trips_v2$usertype","all_trips_v2$day_of_week","all_trips_v2$ride_length"
"1","casual","Sunday",56.5063534291691
"2","member","Sunday",15.3823935902858
"3","casual","Monday",55.6829620973435
"4","member","Monday",14.1188451441541
"5","casual","Tuesday",59.0039189500876
"6","member","Tuesday",14.0632776621734
"7","casual","Wednesday",63.4964268434074
"8","member","Wednesday",13.5548928101911
"9","casual","Thursday",62.0914735870363
"10","member","Thursday",13.8551245622177
"11","casual","Friday",62.7834826621235
"12","member","Friday",13.8463710149639
"13","casual","Saturday",54.4103608586774
"14","member","Saturday",16.2338838145937
